ISBN,Title,Author,Stock
10053,The Hobbit,JRR Tolkien,61
10054,Atomic Habits,James Clear,95
10055,Deep Work,Cal Newport,33
10056,Computer Graphics,Donald Hearn,30
10057,Compiler Design,Alfred Aho,56
10058,Cryptography,Bruce Schneier,92
10059,Network Security,William Stallings,5
10060,Discrete Mathematics,Kenneth Rosen,89
10061,Linear Algebra,Gilbert Strang,52
10062,Calculus,James Stewart,77
10063,Computer Vision,Richard Szeliski,93
10064,Reinforcement Learning,Richard Sutton,14
10065,Distributed Systems,Maarten van Steen,70
10066,Software Engineering,Ian Sommerville,77
10067,Data Mining,Jiawei Han,50
10068,Cloud Computing,Rajkumar Buyya,31
10069,Operating Systems,Thomas Anderson,99
10070,C Programming Second Edition 1,Brian Kernighan,74
10071,Art of Comp Prog Second Edition 1,Donald Knuth,93
10072,Intro to Algorithms Second Edition 1,Thomas Cormen,27
10073,Clean Code Second Edition 1,Robert Martin,24
10074,Design Patterns Second Edition 1,Erich Gamma,9
10075,Effective Java Second Edition 1,Joshua Bloch,10
10076,Pragmatic Programmer Second Edition 1,Andrew Hunt,66
10077,Building Microservices Second Edition 1,Sam Newman,5
10078,OS Concepts Second Edition 1,Abraham Silberschatz,28
10079,Learning Python Second Edition 1,Mark Lutz,69
10080,Head First Java Second Edition 1,Kathy Sierra,0
10081,Computer Networks Second Edition 1,Andrew Tanenbaum,65
10082,Database Concepts Second Edition 1,Abraham Silberschatz,20
10083,Domain Driven Design Second Edition 1,Eric Evans,91
10084,Mythical Man Month Second Edition 1,Fred Brooks,45
10085,Data Science Second Edition 1,Joel Grus,68
10086,Algorithms Second Edition 1,Robert Sedgewick,74
10087,Python Crash Course Second Edition 1,Eric Matthes,54
10088,Core Java Second Edition 1,Cay Horstmann,66
10089,Learning Node Second Edition 1,Shelley Powers,77
10090,Fluent Python Second Edition 1,Luciano Ramalho,57
10091,Rust Programming Second Edition 1,Jim Blandy,83
10092,Go Programming Second Edition 1,Alan Donovan,58
10093,Spring in Action Second Edition 1,Craig Walls,15
10094,Learning Go Second Edition 1,Jon Bodner,73
10095,Designing Data Apps Second Edition 1,Martin Kleppmann,87
10096,Effective C Plus Second Edition 1,Scott Meyers,46
10097,Eloquent JavaScript Second Edition 1,Marijn Haverbeke,69
10098,Clean Coder Second Edition 1,Robert Martin,5
10099,Refactoring Second Edition 1,Martin Fowler,3
10100,Clean Architecture Second Edition 1,Robert Martin,95
10101,Docker Up Second Edition 1,Karl Matthias,3
10102,Kubernetes Up Second Edition 1,Brendan Burns,76
10103,Code Complete Second Edition 1,Steve McConnell,90
10104,Site Reliability Second Edition 1,Betsy Beyer,57
10105,Cloud Native Java Second Edition 1,Josh Long,62
10106,Flask Web Dev Second Edition 1,Miguel Grinberg,31
10107,Deep Learning Second Edition 1,Ian Goodfellow,88
10108,Machine Learning Second Edition 1,Aurelien Geron,80
10109,Grokking Algorithms Second Edition 1,Aditya Bhargava,13
10110,Linux Command Line Second Edition 1,William Shotts,43
10111,Pro Git Second Edition 1,Scott Chacon,85
10112,UNIX Network Prog Second Edition 1,Richard Stevens,57
10113,Programming Pearls Second Edition 1,Jon Bentley,11
10114,Black Hat Python Second Edition 1,Justin Seitz,82
10115,Pattern Recognition Second Edition 1,Christopher Bishop,36
10116,Artificial Intelligence Second Edition 1,Stuart Russell,96
10117,The Prince Second Edition 1,Niccolo Machiavelli,68
10118,Pride and Prejudice Second Edition 1,Jane Austen,52
10119,Animal Farm Second Edition 1,George Orwell,55
10120,Great Gatsby Second Edition 1,F Scott Fitzgerald,23
10121,Harry Potter One Second Edition 1,JK Rowling,67
10122,Game of Thrones Second Edition 1,George RR Martin,35
10123,The Hobbit Second Edition 1,JRR Tolkien,48
10124,Atomic Habits Second Edition 1,James Clear,80
10125,Deep Work Second Edition 1,Cal Newport,27
10126,Computer Graphics Second Edition 1,Donald Hearn,92
10127,Compiler Design Second Edition 1,Alfred Aho,94
10128,Cryptography Second Edition 1,Bruce Schneier,67
10129,Network Security Second Edition 1,William Stallings,49
10130,Discrete Mathematics Second Edition 1,Kenneth Rosen,12
10131,Linear Algebra Second Edition 1,Gilbert Strang,27
10132,Calculus Second Edition 1,James Stewart,27
10133,Computer Vision Second Edition 1,Richard Szeliski,57
10134,Reinforcement Learning Second Edition 1,Richard Sutton,23
10135,Distributed Systems Second Edition 1,Maarten van Steen,42
10136,Software Engineering Second Edition 1,Ian Sommerville,7
10137,Data Mining Second Edition 1,Jiawei Han,46
10138,Cloud Computing Second Edition 1,Rajkumar Buyya,71
10139,Operating Systems Second Edition 1,Thomas Anderson,60
10140,C Programming Third Edition 2,Brian Kernighan,98
10141,Art of Comp Prog Third Edition 2,Donald Knuth,55
10142,Intro to Algorithms Third Edition 2,Thomas Cormen,44
10143,Clean Code Third Edition 2,Robert Martin,12
10144,Design Patterns Third Edition 2,Erich Gamma,23
10145,Effective Java Third Edition 2,Joshua Bloch,62
10146,Pragmatic Programmer Third Edition 2,Andrew Hunt,52
10147,Building Microservices Third Edition 2,Sam Newman,40
10148,OS Concepts Third Edition 2,Abraham Silberschatz,46
10149,Learning Python Third Edition 2,Mark Lutz,7
10150,Head First Java Third Edition 2,Kathy Sierra,90
10151,Computer Networks Third Edition 2,Andrew Tanenbaum,100
10152,Database Concepts Third Edition 2,Abraham Silberschatz,70
10153,Domain Driven Design Third Edition 2,Eric Evans,96
10154,Mythical Man Month Third Edition 2,Fred Brooks,83
10155,Data Science Third Edition 2,Joel Grus,55
10156,Algorithms Third Edition 2,Robert Sedgewick,15
10157,Python Crash Course Third Edition 2,Eric Matthes,79
10158,Core Java Third Edition 2,Cay Horstmann,79
10159,Learning Node Third Edition 2,Shelley Powers,53
10160,Fluent Python Third Edition 2,Luciano Ramalho,63
10161,Rust Programming Third Edition 2,Jim Blandy,60
10162,Go Programming Third Edition 2,Alan Donovan,92
10163,Spring in Action Third Edition 2,Craig Walls,71
10164,Learning Go Third Edition 2,Jon Bodner,1
10165,Designing Data Apps Third Edition 2,Martin Kleppmann,21
10166,Effective C Plus Third Edition 2,Scott Meyers,79
10167,Eloquent JavaScript Third Edition 2,Marijn Haverbeke,60
10168,Clean Coder Third Edition 2,Robert Martin,2
10169,Refactoring Third Edition 2,Martin Fowler,57
10170,Clean Architecture Third Edition 2,Robert Martin,31
10171,Docker Up Third Edition 2,Karl Matthias,75
10172,Kubernetes Up Third Edition 2,Brendan Burns,52
10173,Code Complete Third Edition 2,Steve McConnell,24
10174,Site Reliability Third Edition 2,Betsy Beyer,17
10175,Cloud Native Java Third Edition 2,Josh Long,9
10176,Flask Web Dev Third Edition 2,Miguel Grinberg,30
10177,Deep Learning Third Edition 2,Ian Goodfellow,60
10178,Machine Learning Third Edition 2,Aurelien Geron,68
10179,Grokking Algorithms Third Edition 2,Aditya Bhargava,70
10180,Linux Command Line Third Edition 2,William Shotts,68
10181,Pro Git Third Edition 2,Scott Chacon,51
10182,UNIX Network Prog Third Edition 2,Richard Stevens,98
10183,Programming Pearls Third Edition 2,Jon Bentley,79
10184,Black Hat Python Third Edition 2,Justin Seitz,65
10185,Pattern Recognition Third Edition 2,Christopher Bishop,0
10186,Artificial Intelligence Third Edition 2,Stuart Russell,70
10187,The Prince Third Edition 2,Niccolo Machiavelli,17
10188,Pride and Prejudice Third Edition 2,Jane Austen,72
10189,Animal Farm Third Edition 2,George Orwell,82
10190,Great Gatsby Third Edition 2,F Scott Fitzgerald,47
10191,Harry Potter One Third Edition 2,JK Rowling,7
10192,Game of Thrones Third Edition 2,George RR Martin,3
10193,The Hobbit Third Edition 2,JRR Tolkien,7
10194,Atomic Habits Third Edition 2,James Clear,5
10195,Deep Work Third Edition 2,Cal Newport,3
10196,Computer Graphics Third Edition 2,Donald Hearn,31
10197,Compiler Design Third Edition 2,Alfred Aho,3
10198,Cryptography Third Edition 2,Bruce Schneier,29
10199,Network Security Third Edition 2,William Stallings,80
10200,Discrete Mathematics Third Edition 2,Kenneth Rosen,43
10201,Linear Algebra Third Edition 2,Gilbert Strang,9
10202,Calculus Third Edition 2,James Stewart,91
10203,Computer Vision Third Edition 2,Richard Szeliski,27
10204,Reinforcement Learning Third Edition 2,Richard Sutton,34
10205,Distributed Systems Third Edition 2,Maarten van Steen,49
10206,Software Engineering Third Edition 2,Ian Sommerville,50
10207,Data Mining Third Edition 2,Jiawei Han,43
10208,Cloud Computing Third Edition 2,Rajkumar Buyya,17
10209,Operating Systems Third Edition 2,Thomas Anderson,32
10210,C Programming Fourth Edition 3,Brian Kernighan,38
10211,Art of Comp Prog Fourth Edition 3,Donald Knuth,62
10212,Intro to Algorithms Fourth Edition 3,Thomas Cormen,54
10213,Clean Code Fourth Edition 3,Robert Martin,45
10214,Design Patterns Fourth Edition 3,Erich Gamma,25
10215,Effective Java Fourth Edition 3,Joshua Bloch,44
10216,Pragmatic Programmer Fourth Edition 3,Andrew Hunt,72
10217,Building Microservices Fourth Edition 3,Sam Newman,89
10218,OS Concepts Fourth Edition 3,Abraham Silberschatz,49
10219,Learning Python Fourth Edition 3,Mark Lutz,58
10220,Head First Java Fourth Edition 3,Kathy Sierra,27
10221,Computer Networks Fourth Edition 3,Andrew Tanenbaum,81
10222,Database Concepts Fourth Edition 3,Abraham Silberschatz,78
10223,Domain Driven Design Fourth Edition 3,Eric Evans,56
10224,Mythical Man Month Fourth Edition 3,Fred Brooks,31
10225,Data Science Fourth Edition 3,Joel Grus,5
10226,Algorithms Fourth Edition 3,Robert Sedgewick,88
10227,Python Crash Course Fourth Edition 3,Eric Matthes,5
10228,Core Java Fourth Edition 3,Cay Horstmann,63
10229,Learning Node Fourth Edition 3,Shelley Powers,88
10230,Fluent Python Fourth Edition 3,Luciano Ramalho,39
10231,Rust Programming Fourth Edition 3,Jim Blandy,19
10232,Go Programming Fourth Edition 3,Alan Donovan,60
10233,Spring in Action Fourth Edition 3,Craig Walls,49
10234,Learning Go Fourth Edition 3,Jon Bodner,12
10235,Designing Data Apps Fourth Edition 3,Martin Kleppmann,71
10236,Effective C Plus Fourth Edition 3,Scott Meyers,42
10237,Eloquent JavaScript Fourth Edition 3,Marijn Haverbeke,97
10238,Clean Coder Fourth Edition 3,Robert Martin,21
10239,Refactoring Fourth Edition 3,Martin Fowler,73
10240,Clean Architecture Fourth Edition 3,Robert Martin,84
10241,Docker Up Fourth Edition 3,Karl Matthias,21
10242,Kubernetes Up Fourth Edition 3,Brendan Burns,80
10243,Code Complete Fourth Edition 3,Steve McConnell,2
10244,Site Reliability Fourth Edition 3,Betsy Beyer,21
10245,Cloud Native Java Fourth Edition 3,Josh Long,87
10246,Flask Web Dev Fourth Edition 3,Miguel Grinberg,35
10247,Deep Learning Fourth Edition 3,Ian Goodfellow,3
10248,Machine Learning Fourth Edition 3,Aurelien Geron,34
10249,Grokking Algorithms Fourth Edition 3,Aditya Bhargava,3
10250,Linux Command Line Fourth Edition 3,William Shotts,89
10251,Pro Git Fourth Edition 3,Scott Chacon,90
10252,UNIX Network Prog Fourth Edition 3,Richard Stevens,77
10253,Programming Pearls Fourth Edition 3,Jon Bentley,95
10254,Black Hat Python Fourth Edition 3,Justin Seitz,3
10255,Pattern Recognition Fourth Edition 3,Christopher Bishop,48
10256,Artificial Intelligence Fourth Edition 3,Stuart Russell,2
10257,The Prince Fourth Edition 3,Niccolo Machiavelli,4
10258,Pride and Prejudice Fourth Edition 3,Jane Austen,73
10259,Animal Farm Fourth Edition 3,George Orwell,74
10260,Great Gatsby Fourth Edition 3,F Scott Fitzgerald,92
10261,Harry Potter One Fourth Edition 3,JK Rowling,16
10262,Game of Thrones Fourth Edition 3,George RR Martin,28
10263,The Hobbit Fourth Edition 3,JRR Tolkien,30
10264,Atomic Habits Fourth Edition 3,James Clear,88
10265,Deep Work Fourth Edition 3,Cal Newport,28
10266,Computer Graphics Fourth Edition 3,Donald Hearn,41
10267,Compiler Design Fourth Edition 3,Alfred Aho,78
10268,Cryptography Fourth Edition 3,Bruce Schneier,40
10269,Network Security Fourth Edition 3,William Stallings,62
10270,Discrete Mathematics Fourth Edition 3,Kenneth Rosen,21
10271,Linear Algebra Fourth Edition 3,Gilbert Strang,29
10272,Calculus Fourth Edition 3,James Stewart,46
10273,Computer Vision Fourth Edition 3,Richard Szeliski,12
10274,Reinforcement Learning Fourth Edition 3,Richard Sutton,81
10275,Distributed Systems Fourth Edition 3,Maarten van Steen,7
10276,Software Engineering Fourth Edition 3,Ian Sommerville,2
10277,Data Mining Fourth Edition 3,Jiawei Han,65
10278,Cloud Computing Fourth Edition 3,Rajkumar Buyya,4
10279,Operating Systems Fourth Edition 3,Thomas Anderson,85
10280,C Programming Handbook 4,Brian Kernighan,82
10281,Art of Comp Prog Handbook 4,Donald Knuth,5
10282,Intro to Algorithms Handbook 4,Thomas Cormen,60
10283,Clean Code Handbook 4,Robert Martin,51
10284,Design Patterns Handbook 4,Erich Gamma,60
10285,Effective Java Handbook 4,Joshua Bloch,7
10286,Pragmatic Programmer Handbook 4,Andrew Hunt,89
10287,Building Microservices Handbook 4,Sam Newman,100
10288,OS Concepts Handbook 4,Abraham Silberschatz,55
10289,Learning Python Handbook 4,Mark Lutz,1
10290,Head First Java Handbook 4,Kathy Sierra,77
10291,Computer Networks Handbook 4,Andrew Tanenbaum,81
10292,Database Concepts Handbook 4,Abraham Silberschatz,100
10293,Domain Driven Design Handbook 4,Eric Evans,53
10294,Mythical Man Month Handbook 4,Fred Brooks,79
10295,Data Science Handbook 4,Joel Grus,1
10296,Algorithms Handbook 4,Robert Sedgewick,20
10297,Python Crash Course Handbook 4,Eric Matthes,64
10298,Core Java Handbook 4,Cay Horstmann,87
10299,Learning Node Handbook 4,Shelley Powers,14
10300,Fluent Python Handbook 4,Luciano Ramalho,54
10301,Rust Programming Handbook 4,Jim Blandy,92
10302,Go Programming Handbook 4,Alan Donovan,14
10303,Spring in Action Handbook 4,Craig Walls,75
10304,Learning Go Handbook 4,Jon Bodner,58
10305,Designing Data Apps Handbook 4,Martin Kleppmann,85
10306,Effective C Plus Handbook 4,Scott Meyers,39
10307,Eloquent JavaScript Handbook 4,Marijn Haverbeke,9
10308,Clean Coder Handbook 4,Robert Martin,53
10309,Refactoring Handbook 4,Martin Fowler,13
10310,Clean Architecture Handbook 4,Robert Martin,38
10311,Docker Up Handbook 4,Karl Matthias,26
10312,Kubernetes Up Handbook 4,Brendan Burns,47
10313,Code Complete Handbook 4,Steve McConnell,86
10314,Site Reliability Handbook 4,Betsy Beyer,56
10315,Cloud Native Java Handbook 4,Josh Long,46
10316,Flask Web Dev Handbook 4,Miguel Grinberg,85
10317,Deep Learning Handbook 4,Ian Goodfellow,100
10318,Machine Learning Handbook 4,Aurelien Geron,31
10319,Grokking Algorithms Handbook 4,Aditya Bhargava,18
10320,Linux Command Line Handbook 4,William Shotts,52
10321,Pro Git Handbook 4,Scott Chacon,11
10322,UNIX Network Prog Handbook 4,Richard Stevens,44
10323,Programming Pearls Handbook 4,Jon Bentley,26
10324,Black Hat Python Handbook 4,Justin Seitz,39
10325,Pattern Recognition Handbook 4,Christopher Bishop,71
10326,Artificial Intelligence Handbook 4,Stuart Russell,45
10327,The Prince Handbook 4,Niccolo Machiavelli,11
10328,Pride and Prejudice Handbook 4,Jane Austen,96
10329,Animal Farm Handbook 4,George Orwell,42
10330,Great Gatsby Handbook 4,F Scott Fitzgerald,74
10331,Harry Potter One Handbook 4,JK Rowling,75
10332,Game of Thrones Handbook 4,George RR Martin,23
10333,The Hobbit Handbook 4,JRR Tolkien,16
10334,Atomic Habits Handbook 4,James Clear,57
10335,Deep Work Handbook 4,Cal Newport,78
10336,Computer Graphics Handbook 4,Donald Hearn,66
10337,Compiler Design Handbook 4,Alfred Aho,57
10338,Cryptography Handbook 4,Bruce Schneier,0
10339,Network Security Handbook 4,William Stallings,45
10340,Discrete Mathematics Handbook 4,Kenneth Rosen,29
10341,Linear Algebra Handbook 4,Gilbert Strang,95
10342,Calculus Handbook 4,James Stewart,52
10343,Computer Vision Handbook 4,Richard Szeliski,30
10344,Reinforcement Learning Handbook 4,Richard Sutton,66
10345,Distributed Systems Handbook 4,Maarten van Steen,18
10346,Software Engineering Handbook 4,Ian Sommerville,89
10347,Data Mining Handbook 4,Jiawei Han,42
10348,Cloud Computing Handbook 4,Rajkumar Buyya,20
10349,Operating Systems Handbook 4,Thomas Anderson,9
10350,C Programming Guide 5,Brian Kernighan,76
10351,Art of Comp Prog Guide 5,Donald Knuth,45
10352,Intro to Algorithms Guide 5,Thomas Cormen,100
10353,Clean Code Guide 5,Robert Martin,44
10354,Design Patterns Guide 5,Erich Gamma,6
10355,Effective Java Guide 5,Joshua Bloch,37
10356,Pragmatic Programmer Guide 5,Andrew Hunt,18
10357,Building Microservices Guide 5,Sam Newman,12
10358,OS Concepts Guide 5,Abraham Silberschatz,63
10359,Learning Python Guide 5,Mark Lutz,92
10360,Head First Java Guide 5,Kathy Sierra,62
10361,Computer Networks Guide 5,Andrew Tanenbaum,65
10362,Database Concepts Guide 5,Abraham Silberschatz,62
10363,Domain Driven Design Guide 5,Eric Evans,57
10364,Mythical Man Month Guide 5,Fred Brooks,36
10365,Data Science Guide 5,Joel Grus,75
10366,Algorithms Guide 5,Robert Sedgewick,70
10367,Python Crash Course Guide 5,Eric Matthes,27
10368,Core Java Guide 5,Cay Horstmann,16
10369,Learning Node Guide 5,Shelley Powers,82
10370,Fluent Python Guide 5,Luciano Ramalho,66
10371,Rust Programming Guide 5,Jim Blandy,78
10372,Go Programming Guide 5,Alan Donovan,83
10373,Spring in Action Guide 5,Craig Walls,9
10374,Learning Go Guide 5,Jon Bodner,57
10375,Designing Data Apps Guide 5,Martin Kleppmann,81
10376,Effective C Plus Guide 5,Scott Meyers,42
10377,Eloquent JavaScript Guide 5,Marijn Haverbeke,32
10378,Clean Coder Guide 5,Robert Martin,95
10379,Refactoring Guide 5,Martin Fowler,33
10380,Clean Architecture Guide 5,Robert Martin,57
10381,Docker Up Guide 5,Karl Matthias,87
10382,Kubernetes Up Guide 5,Brendan Burns,50
10383,Code Complete Guide 5,Steve McConnell,11
10384,Site Reliability Guide 5,Betsy Beyer,16
10385,Cloud Native Java Guide 5,Josh Long,43
10386,Flask Web Dev Guide 5,Miguel Grinberg,69
10387,Deep Learning Guide 5,Ian Goodfellow,17
10388,Machine Learning Guide 5,Aurelien Geron,81
10389,Grokking Algorithms Guide 5,Aditya Bhargava,17
10390,Linux Command Line Guide 5,William Shotts,90
10391,Pro Git Guide 5,Scott Chacon,89
10392,UNIX Network Prog Guide 5,Richard Stevens,14
10393,Programming Pearls Guide 5,Jon Bentley,15
10394,Black Hat Python Guide 5,Justin Seitz,72
10395,Pattern Recognition Guide 5,Christopher Bishop,80
10396,Artificial Intelligence Guide 5,Stuart Russell,46
10397,The Prince Guide 5,Niccolo Machiavelli,15
10398,Pride and Prejudice Guide 5,Jane Austen,90
10399,Animal Farm Guide 5,George Orwell,70
10400,Great Gatsby Guide 5,F Scott Fitzgerald,41
10401,Harry Potter One Guide 5,JK Rowling,89
10402,Game of Thrones Guide 5,George RR Martin,94
10403,The Hobbit Guide 5,JRR Tolkien,87
10404,Atomic Habits Guide 5,James Clear,23
10405,Deep Work Guide 5,Cal Newport,49
10406,Computer Graphics Guide 5,Donald Hearn,16
10407,Compiler Design Guide 5,Alfred Aho,97
10408,Cryptography Guide 5,Bruce Schneier,39
10409,Network Security Guide 5,William Stallings,99
10410,Discrete Mathematics Guide 5,Kenneth Rosen,39
10411,Linear Algebra Guide 5,Gilbert Strang,98
10412,Calculus Guide 5,James Stewart,33
10413,Computer Vision Guide 5,Richard Szeliski,29
10414,Reinforcement Learning Guide 5,Richard Sutton,49
10415,Distributed Systems Guide 5,Maarten van Steen,88
10416,Software Engineering Guide 5,Ian Sommerville,33
10417,Data Mining Guide 5,Jiawei Han,41
10418,Cloud Computing Guide 5,Rajkumar Buyya,11
10419,Operating Systems Guide 5,Thomas Anderson,28
10420,C Programming Essentials 6,Brian Kernighan,97
10421,Art of Comp Prog Essentials 6,Donald Knuth,89
10422,Intro to Algorithms Essentials 6,Thomas Cormen,40
10423,Clean Code Essentials 6,Robert Martin,52
10424,Design Patterns Essentials 6,Erich Gamma,92
10425,Effective Java Essentials 6,Joshua Bloch,34
10426,Pragmatic Programmer Essentials 6,Andrew Hunt,32
10427,Building Microservices Essentials 6,Sam Newman,30
10428,OS Concepts Essentials 6,Abraham Silberschatz,73
10429,Learning Python Essentials 6,Mark Lutz,93
10430,Head First Java Essentials 6,Kathy Sierra,28
10431,Computer Networks Essentials 6,Andrew Tanenbaum,50
10432,Database Concepts Essentials 6,Abraham Silberschatz,47
10433,Domain Driven Design Essentials 6,Eric Evans,18
10434,Mythical Man Month Essentials 6,Fred Brooks,47
10435,Data Science Essentials 6,Joel Grus,8
10436,Algorithms Essentials 6,Robert Sedgewick,99
10437,Python Crash Course Essentials 6,Eric Matthes,42
10438,Core Java Essentials 6,Cay Horstmann,47
10439,Learning Node Essentials 6,Shelley Powers,23
10440,Fluent Python Essentials 6,Luciano Ramalho,28
10441,Rust Programming Essentials 6,Jim Blandy,34
10442,Go Programming Essentials 6,Alan Donovan,76
10443,Spring in Action Essentials 6,Craig Walls,42
10444,Learning Go Essentials 6,Jon Bodner,87
10445,Designing Data Apps Essentials 6,Martin Kleppmann,51
10446,Effective C Plus Essentials 6,Scott Meyers,28
10447,Eloquent JavaScript Essentials 6,Marijn Haverbeke,96
10448,Clean Coder Essentials 6,Robert Martin,54
10449,Refactoring Essentials 6,Martin Fowler,50
10450,Clean Architecture Essentials 6,Robert Martin,96
10451,Docker Up Essentials 6,Karl Matthias,7
10452,Kubernetes Up Essentials 6,Brendan Burns,61
10453,Code Complete Essentials 6,Steve McConnell,56
10454,Site Reliability Essentials 6,Betsy Beyer,76
10455,Cloud Native Java Essentials 6,Josh Long,10
10456,Flask Web Dev Essentials 6,Miguel Grinberg,92
10457,Deep Learning Essentials 6,Ian Goodfellow,13
10458,Machine Learning Essentials 6,Aurelien Geron,5
10459,Grokking Algorithms Essentials 6,Aditya Bhargava,54
10460,Linux Command Line Essentials 6,William Shotts,33
10461,Pro Git Essentials 6,Scott Chacon,76
10462,UNIX Network Prog Essentials 6,Richard Stevens,18
10463,Programming Pearls Essentials 6,Jon Bentley,74
10464,Black Hat Python Essentials 6,Justin Seitz,76
10465,Pattern Recognition Essentials 6,Christopher Bishop,75
10466,Artificial Intelligence Essentials 6,Stuart Russell,25
10467,The Prince Essentials 6,Niccolo Machiavelli,44
10468,Pride and Prejudice Essentials 6,Jane Austen,38
10469,Animal Farm Essentials 6,George Orwell,85
10470,Great Gatsby Essentials 6,F Scott Fitzgerald,48
10471,Harry Potter One Essentials 6,JK Rowling,100
10472,Game of Thrones Essentials 6,George RR Martin,99
10473,The Hobbit Essentials 6,JRR Tolkien,88
10474,Atomic Habits Essentials 6,James Clear,41
10475,Deep Work Essentials 6,Cal Newport,76
10476,Computer Graphics Essentials 6,Donald Hearn,22
10477,Compiler Design Essentials 6,Alfred Aho,25
10478,Cryptography Essentials 6,Bruce Schneier,24
10479,Network Security Essentials 6,William Stallings,91
10480,Discrete Mathematics Essentials 6,Kenneth Rosen,87
10481,Linear Algebra Essentials 6,Gilbert Strang,24
10482,Calculus Essentials 6,James Stewart,20
10483,Computer Vision Essentials 6,Richard Szeliski,82
10484,Reinforcement Learning Essentials 6,Richard Sutton,72
10485,Distributed Systems Essentials 6,Maarten van Steen,70
10486,Software Engineering Essentials 6,Ian Sommerville,71
10487,Data Mining Essentials 6,Jiawei Han,73
10488,Cloud Computing Essentials 6,Rajkumar Buyya,79
10489,Operating Systems Essentials 6,Thomas Anderson,39
10490,C Programming Advanced 7,Brian Kernighan,14
10491,Art of Comp Prog Advanced 7,Donald Knuth,52
10492,Intro to Algorithms Advanced 7,Thomas Cormen,2
10493,Clean Code Advanced 7,Robert Martin,58
10494,Design Patterns Advanced 7,Erich Gamma,24
10495,Effective Java Advanced 7,Joshua Bloch,13
10496,Pragmatic Programmer Advanced 7,Andrew Hunt,47
10497,Building Microservices Advanced 7,Sam Newman,27
10498,OS Concepts Advanced 7,Abraham Silberschatz,0
10499,Learning Python Advanced 7,Mark Lutz,14
10500,Head First Java Advanced 7,Kathy Sierra,93
10501,Computer Networks Advanced 7,Andrew Tanenbaum,18
10502,Database Concepts Advanced 7,Abraham Silberschatz,36
10503,Domain Driven Design Advanced 7,Eric Evans,37
10504,Mythical Man Month Advanced 7,Fred Brooks,89
10505,Data Science Advanced 7,Joel Grus,68
10506,Algorithms Advanced 7,Robert Sedgewick,26
10507,Python Crash Course Advanced 7,Eric Matthes,12
10508,Core Java Advanced 7,Cay Horstmann,70
10509,Learning Node Advanced 7,Shelley Powers,36
10510,Fluent Python Advanced 7,Luciano Ramalho,35
10511,Rust Programming Advanced 7,Jim Blandy,62
10512,Go Programming Advanced 7,Alan Donovan,76
10513,Spring in Action Advanced 7,Craig Walls,17
10514,Learning Go Advanced 7,Jon Bodner,21
10515,Designing Data Apps Advanced 7,Martin Kleppmann,37
10516,Effective C Plus Advanced 7,Scott Meyers,56
10517,Eloquent JavaScript Advanced 7,Marijn Haverbeke,15
10518,Clean Coder Advanced 7,Robert Martin,18
10519,Refactoring Advanced 7,Martin Fowler,93
10520,Clean Architecture Advanced 7,Robert Martin,72
10521,Docker Up Advanced 7,Karl Matthias,69
10522,Kubernetes Up Advanced 7,Brendan Burns,97
10523,Code Complete Advanced 7,Steve McConnell,25
